"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
-3.91202300542815,-3.29413830936875,-3.15121717639439,-3.87762157871081,-2.3496767005279,-2.31668401737355,-1.8714522381373,-1.83195665897947,-1.16828396191743,-1.55542332412786,-1.8269722249838,-1.84389522364858,-1.49700248310431,-2.74109005518041,-2.71810053695571,-1.48148454812364,-1.17118298150295,-1.20430619322717,-0.677667609711559,-0.734594370474119,-0.547662513817964,-0.679047056181164,-0.837479551449865,-0.588787165235702,-0.398837121817943,-0.443946094926446,-0.341927087304177,-0.213193220461042,-0.386986886862391,-0.952695413767955,-2.03485065835196,-1.34553636864772,-0.669235360513632,-0.281434959691314,-0.158175434965876,-0.161695739000298,-0.401672309869468,-0.494788246068367,-0.704612658669223,-1.29316838313041,-2.97592964625781,-1.26089595172556,-1.26407672839564,-0.854255340954702,-1.33142745967905,-1.97616319222633,-2.25284300109923,-2.00767917545295,-3.26230538279554,-3.42959685618385,-3.76360300030987,-5.91450350597185,-5.03595310208055,-4.14143616975595,-4.93367425296013,-4.09234655955943,-4.01738352108597,-4.77952357313287,-4.71053070164592,-5.74460446917646
-3.09444824649315,-2.95075890791126,-2.47337341397433,-2.67509910096252,-2.1345315079978,-1.35363357888034,-1.53433043994729,-1.05526548416474,-1.09751289322481,-1.24757644180807,-0.709683149200045,-0.422814746443277,-0.368313842477372,-0.248846048666583,-0.292493629449003,-0.0572054737707792,0,-0.119459440037328,-0.220148042334411,-0.246156325623283,-0.651621433731447,-0.903374506607609,-0.927098930590758,-0.938025224020161,-1.1239300966524,-1.13943428318836,-1.1174893444378,-1.28482139218926,-0.815766894107856,-1.59553500726511,-0.970746917670214,-1.22179738923849,-1.61747008413136,-1.45200690448527,-2.03561606213981,-0.871795491987604,-0.958415658174826,-2.24715038610594,-1.69281952137315,-1.62455155024415,-1.78736912092676,-2.84215318562569,-1.96539882563918,-1.8152328254137,-2.7790092900427,-3.8971343929344,-2.93746336543002,-2.6009911288088,-3.19662521593338,-5.09946650780287,-4.38202663467388,-4.77952357313287,-4.72170400224404,-5.33913936106829,-4.66704558970618,-3.95806694392955,-4.26869794936688,-5.31852007386556,-5.25909665339476,-5.42615073805792
-3.64199586821509,-2.84386992424474,-2.20818441757256,-2.22285012497519,-2.32892906833365,-1.4784096500277,-1.41428239766006,-0.975244874717826,-0.580175701900784,-0.479004011443035,-0.456811035459752,-0.348140041488895,-0.589868831106444,-0.631111789640493,-0.434018915526225,-0.366580990058198,-0.391710142875829,-0.280905088172757,-0.113280686458966,-0.148616024328783,-0.226398844034882,-0.394970371015523,-0.845599303751622,-1.00840602078196,-0.629046255153422,-1.42171430635115,-0.679244275390954,-0.158644093439598,-0.504843552088443,-0.160873225588085,-0.161108160394757,-0.684187439188473,-1.68093391413917,-1.30600552989109,-0.859910398438047,-1.18974122207921,-0.49167680492723,-0.392154094048492,-0.620826518980319,-0.750988180249795,-0.766363242891204,-1.35208618979015,-1.5469327070827,-1.50417740177661,-1.55542332412786,-4.03985637693803,-2.00396308050393,-2.59829933714309,-4.3428059215206,-4.54690127786412,-5.7138328105097,-3.76360300030987,-4.09835258361964,-4.65646348037564,-4.01738352108597,-3.71317214668298,-3.45459815838927,-4.11047394415198,-4.65646348037564,-4.85363154528659
-4.60517018598809,-4.06867681547352,-2.77579385318873,-3.88733039283777,-3.88733039283777,-3.30225743380725,-2.20909474990671,-2.05885490807145,-2.81674961802555,-2.06830379726938,-2.42928274604,-1.61344593383164,-3.9954046143672,-1.48677789969821,-1.75504188629289,-1.54599373987757,-2.66931037278628,-1.47797114969179,-0.901402119380404,-0.923063616161584,-1.2942622756734,-0.99695863494161,-0.587706668101948,-0.724431470599712,-1.15836229307388,-0.628483667234223,-0.643214811811736,-1.37832619147071,-1.56542102701733,-1.03310548646599,-0.468404907882039,-0.309246250367621,-0.491022996469811,-1.05067963491281,-0.928110308679497,-1.1999807830564,-0.614705754253383,-0.12624372657425,-0.0144032303107437,-0.0869750140144072,-0.490859611125113,-0.691947899984463,-1.13631415585212,-1.13880947841952,-0.845133537557827,-1.00676263503823,-1.32614043830014,-1.84769510155836,-2.68677806582667,-3.5267606046375,-3.72554343848553,-4.41454982637944,-5.62682143352007,-4.19970507787993,-4.76768911548587,-4.91988093082779,-5.29831736654804,-5.42615073805792,-5.52146091786225,-4.44816643717843
-2.57439381628954,-2.70905070143579,-3.03447310187042,-3.23398946267825,-2.83021783507642,-2.73490765527209,-2.11279152136139,-1.39958225544683,-1.03170158338548,-0.807660567348706,-0.878994947130458,-0.928363313108424,-0.854255340954702,-0.883097764518391,-0.792304752093164,-0.629984605602305,-0.313889164620955,-0.479165471038122,-1.59356456327781,-0.76873316751654,-0.879958802626765,-0.845832268225594,-0.556869562267398,-0.616371341757896,-1.15169665976057,-1.47621906864788,-0.357389484876601,0,-0.319929820001902,-0.74992919465893,-0.672756490912211,-0.605319470194425,-1.24444763689165,-2.32176791241082,-1.63424303135307,-0.872034640619618,-0.77565960213441,-1.13413584473716,-1.26301534495972,-1.41469383564159,-1.61999342637362,-1.4089490516847,-1.68902239177694,-2.47574871200323,-2.67075441635851,-2.94124408826992,-3.33260459019654,-4.76768911548587,-3.77226106305299,-5.38169897548709,-4.16048436472665,-5.77635316749104,-5.22135632541191,-4.55638002181866,-4.50986000618377,-6.50229017087397,-4.93367425296013,-5.33913936106829,-4.53751153751428,-4.66704558970618
-3.55434856115633,-3.09444824649315,-3.58632286578884,-4.05128507276165,-3.25969781938846,-2.31263542884755,-2.1194305498962,-1.69663112413648,-1.5582696258597,-1.19105657905939,-1.20798082572347,-0.85566611005772,-0.455233250342286,-0.1986948709119,0,-0.00120072057651888,-0.0504515434960982,-0.102586588775101,-0.323792959464139,-0.669040105216712,-1.57310598318671,-0.920047780751867,-0.52932909533055,-1.24757644180807,-1.58816577715856,-0.547835449399891,-0.618225254042686,-0.980829253011726,-1.07557958955754,-0.679836166500273,-0.583396316600826,-0.738563044090428,-1.1089657007476,-1.51503723701262,-1.96112531486179,-1.25316304851671,-0.965743615593685,-0.877550903558225,-0.902881044964237,-1.10987548094682,-1.30674408236188,-1.32802545299591,-2.62693114981742,-2.08908791873164,-2.12695252435089,-2.21732524904322,-2.77579385318873,-3.00780485478826,-3.63439126882987,-4.81589121730374,-4.56594947283481,-5.40367788220586,-6.57128304236092,-5.5727542122498,-6.64539101451465,-4.72170400224404,-5.16728910414163,-5.91450350597185,-5.27851473925186,-5.08320598693109
-3.4514385980989,-2.34758245892478,-2.02419606745386,-1.96041483525819,-1.78736912092676,-1.76609172247948,-2.6159269122264,-1.96539882563918,-1.56877593071521,-1.04611471971036,-1.72260661053974,-2.72113544065087,-2.97006452680541,-0.980296061850067,-0.612673796410068,-0.608806032126194,-0.663588378318401,-0.85284655931762,-1.59750934156883,-0.859674131455259,-0.258382203406919,-0.0268574541698826,-0.0629397997738742,-0.587166857022713,-0.640934309113011,-0.38184624250953,-0.55984081325172,-0.610830138070732,-1.52463731074164,-1.53758247533367,-0.542832419901077,-0.45839131391757,-1.21570806054436,-1.67504366953209,-1.21435989721242,-0.661067287096534,-0.485645325235692,-0.847931394360812,-0.601662490437767,-0.488901066350199,-0.68975294749193,-1.43674590461599,-1.63117240458011,-1.74354089695758,-2.03714862948958,-2.81842325858358,-2.18569134152255,-2.25665616110565,-2.981829368385,-4.14143616975595,-3.93734081341244,-3.90703546391711,-3.6969116258112,-4.33514304877503,-4.96184512992682,-4.28308668681898,-4.68855179492714,-4.24749574171628,-5.62682143352007,-4.57561138374655
-2.95843648881029,-2.90406508502817,-2.47456035773386,-3.44514926919134,-2.15589071384324,-2.38379514841959,-2.27594316204762,-2.79197543603997,-1.92072985052502,-1.25948551425619,-1.27225164507923,-1.17570933905308,-1.32538742621637,-0.967320902986934,-0.575186382926381,-0.826450027874366,-1.34055646944604,-2.12109721694867,-0.404066087194457,-0.0616626603921069,-0.244367187765836,-0.625114770168118,-0.384339826493216,-0.0862116968190654,-0.27272778066997,-0.196014883925957,-0.11968484294598,-0.495772821139698,-1.21503375168536,-2.20455135272268,-2.02646965691373,-2.77419000360676,-2.31263542884755,-0.914791855750419,-1.00348394357653,-2.25379492882461,-1.65286747036144,-0.933945667112876,-0.846764669225545,-1.36806159285883,-2.1619539632543,-1.51594756934676,-1.67184537256272,-1.94002748589716,-1.53897944878554,-1.44392347395653,-2.18480205733766,-3.67300610495765,-3.55785119170753,-4.0285568216841,-5.25909665339476,-4.81589121730374,-4.42284862919414,-5.40367788220586,-4.41454982637944,-4.6356293934728,-4.76768911548587,-5.36019277026612,-5.33913936106829,-5.24004845842406
-3.80316860051606,-3.28341434600577,-3.02825546525955,-3.04702556794154,-2.73799407747528,-2.82852435457008,-2.58627514417629,-4.62537289330561,-2.68238245435363,-1.90582442551603,-2.15761932274386,-1.79938849639255,-0.958937306595628,-1.0222069574657,-1.76433887365206,-2.17507177269509,-3.35526844977376,-0.968637212246364,-0.300969966778716,-0.00752826642079152,-0.01999864650669,-0.117658043468232,-0.398688123829141,-0.84723119594266,-1.08648610887027,-0.305710274971172,-0.0396768171528984,-0.307476699779961,-0.722370039236849,-1.83633851262602,-1.20164218898765,-0.892574205256839,-1.14885350510486,-1.1071486196904,-1.07645948402698,-1.5205117032397,-1.40120497385564,-1.2997497597197,-1.78379129957888,-1.27582690809392,-1.36335938983739,-1.74869997976761,-1.5506974174115,-2.20818441757256,-2.31769873080409,-2.06278110078673,-1.9248338234534,-2.1507227436848,-2.55490002160854,-3.12584095890101,-5.09946650780287,-4.23360662955561,-4.35831010805657,-4.23360662955561,-5.14989736142976,-5.31852007386556,-5.03595310208055,-4.67774087882293,-5.13280292807046,-6.11929791861787
-4.11047394415198,-4.0570487774784,-3.36101559202932,-4.96184512992682,-3.9792317551216,-2.7015712350045,-2.24809690770998,-2.66355496121566,-2.34132592131048,-3.6848874328444,-2.52447942490782,-2.24809690770998,-2.06672276927206,-2.41911890925,-3.92207334128165,-2.17771611094818,-1.26372280873171,-1.12886533183913,-1.1276292377386,-0.836324950236273,-0.49955603150776,-0.267618041416039,-0.0830555751373258,-0.0285023604727122,-0.0826210286883369,-0.281700000774234,-0.187655758384657,-0.115747608544313,-0.313478627495791,-0.371643559632654,-0.539739633930633,-0.706232420108601,-1.17086045287573,-3.4867552700238,-3.71317214668298,-2.20002850466895,-1.83633851262602,-1.98704469241387,-2.66499071164176,-3.09665819214395,-2.78062089393705,-1.95122424387908,-1.83445822376117,-1.97760723579857,-3.29144651770304,-2.67655153404284,-2.44530139519564,-2.97006452680541,-4.68855179492714,-3.92207334128165,-4.43965574751052,-4.71053070164592,-3.80316860051606,-4.02295456613543,-4.77952357313287,-4.99083266680008,-5.74460446917646,-5.65499231048677,-5.18498868124103,-5.52146091786225
