"Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","PavedDrive","MoSold","YrSold","SaleType","SaleCondition","SalePrice","ExteriorFirst","BsmtUnfSf","EncodeLotShape","EncodeNeighborhood","EncodeHouseStyle","EncodeBsmtExposure","EncodeKitchenQual","EncodeBsmtQual","BathToRoom","EncodeBldgType","EncodedFoundation","EncodeSaleType","EncodedSaleCondition","cent1","EncodeNeighborhoodL","EncodeCondition1","EncodeCondition1L","EncodeLotConfig","EncodeHeatingQC","cent2","cent3","EncodeExteriorFirst"
1,60,"RL",4.17438726989564,9.04192172035122,"Reg","Inside","CollgCr","Norm","1Fam","2Story",7,5,2003,2003,"Gable","VinylSd","BrkFace",5.27811465923052,"Gd","TA","PConc","Gd","No","GLQ",6.55961523749324,150,6.75227037614174,"Ex","Y","SBrkr",6.75227037614174,6.74993119378857,7.44424864949671,1,0,2,1,3,"Gd",8,0,"Attchd",2003,"RFn",2,6.30627528694802,"Y",2,2008,"WD","Normal",12.247694320221,"VinylSd",5.01063529409626,4,0,0,0,0,1,1.33333333333333,0,1,0,1,0.0191917246758107,0,1,0,0,0,0.197095966115072,0.0390045803686773,0
2,20,"RL",4.38202663467388,9.16951837745593,"Reg","FR2","Veenker","Feedr","1Fam","1Story",6,8,1976,1976,"Gable","MetalSd","None",5.35658627467201,"TA","TA","CBlock","Gd","Gd","ALQ",6.88550967003482,284,7.14045304310116,"Ex","Y","SBrkr",7.14045304310116,0,7.14045304310116,0,1,2,0,3,"TA",6,1,"Attchd",1976,"RFn",2,6.13122648948314,"Y",5,2007,"WD","Normal",12.109010932687,"MetalSd",5.64897423816121,4,0,1,1,1,1,1,0,0,0,1,0.00705692826658993,0,0,0,1,0,-0.00817707561049308,-0.0101590499434796,0
3,60,"RL",4.21950770517611,9.32812340763257,"IR1","Inside","CollgCr","Norm","1Fam","2Story",7,5,2001,2002,"Gable","VinylSd","BrkFace",5.08759633523238,"Gd","TA","PConc","Gd","Mn","GLQ",6.18620862390049,434,6.82437367004309,"Ex","Y","SBrkr",6.82437367004309,6.76388490856244,7.48773376143644,1,0,2,1,3,"Gd",6,1,"Attchd",2001,"RFn",2,6.41017488196617,"Y",9,2008,"WD","Normal",12.3171666930358,"VinylSd",6.07304453410041,1,0,0,0,0,1,1.33333333333333,0,1,0,1,0.0252705572971028,0,1,0,0,0,0.259524612241675,0.0639177614198458,0
4,70,"RL",4.0943445622221,9.16429643347478,"IR1","Corner","Crawfor","Norm","1Fam","2Story",7,5,1915,1970,"Gable","Wd Shng","None",5.88610403145016,"TA","TA","BrkTil","TA","No","ALQ",5.37527840768417,540,6.62804137617953,"Gd","Y","SBrkr",6.86797440897029,6.62804137617953,7.44833386089748,1,0,1,0,3,"Gd",7,1,"Detchd",1998,"Unf",3,6.46458830368996,"Y",2,2006,"WD","Abnorml",11.8493977015914,"Wd Sdng",6.29156913955832,1,1,0,0,0,1,0.666666666666667,0,0,0,0,0.163303392880298,0,1,0,0,0,-0.160817800903429,-0.0325563625473971,0
5,60,"RL",4.43081679884331,9.56521369396829,"IR1","FR2","NoRidge","Norm","1Fam","2Story",8,5,2000,2000,"Gable","VinylSd","BrkFace",5.85793315448346,"Gd","TA","PConc","Gd","Av","GLQ",6.48463523563525,490,7.04315991598834,"Ex","Y","SBrkr",7.04315991598834,6.95939851213398,7.69530313496357,1,0,2,1,4,"Gd",9,1,"Attchd",2000,"RFn",3,6.7286286130847,"Y",12,2008,"WD","Normal",12.4292161968444,"VinylSd",6.19440539110467,1,1,0,0,0,1,1,0,1,0,1,0.0350748888803573,0,1,0,1,0,0.761069414276958,0.171921624734838,0
6,50,"RL",4.44265125649032,9.55499334068759,"IR1","Inside","Mitchel","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","VinylSd","None",3.68887945411394,"TA","TA","Wood","Gd","No","GLQ",6.59578051396131,64,6.67959918584438,"Ex","Y","SBrkr",6.67959918584438,6.33859407820318,7.21670948670946,1,0,1,1,1,"TA",5,0,"Attchd",1993,"Unf",2,6.17378610390194,"Y",10,2009,"WD","Normal",11.870599909242,"VinylSd",4.15888308335967,1,0,0,0,1,1,3,0,0,0,1,-0.0138040362848474,1,1,0,0,0,0.173755567839428,0.00784183905692217,0
7,20,"RL",4.31748811353631,9.21870528830781,"Reg","Inside","Somerst","Norm","1Fam","1Story",8,5,2004,2005,"Gable","VinylSd","Stone",5.2257466737132,"Gd","TA","PConc","Ex","Av","GLQ",7.22183582528845,317,7.4301141385618,"Ex","Y","SBrkr",7.434847875212,0,7.434847875212,1,0,2,0,3,"Gd",7,1,"Attchd",2004,"RFn",2,6.45519856334012,"Y",8,2007,"WD","Normal",12.6346030265693,"VinylSd",5.75890177387728,4,0,1,0,0,0,1,0,1,0,1,0.0530462364812905,0,1,0,0,0,1.15101913126864,0.10211013830051,0
8,60,"RL",4.38202663467388,9.24782881638717,"IR1","Corner","NWAmes","PosN","1Fam","2Story",7,6,1973,1973,"Gable","HdBoard","Stone",5.48063892334199,"TA","TA","CBlock","Gd","Mn","ALQ",6.75576892198425,216,7.00940893270864,"Ex","Y","SBrkr",7.00940893270864,6.89060912014717,7.64491934495886,1,0,2,1,3,"TA",7,2,"Attchd",1973,"RFn",2,6.18208490671663,"Y",11,2009,"WD","Normal",12.2060726455302,"HdBoard",5.37527840768417,1,0,0,0,1,1,1.33333333333333,0,0,0,1,0.015549828140364,1,0,0,0,0,0.159694266774849,0.0672645742216482,0
9,50,"RM",3.93182563272433,8.71931737550637,"Reg","Inside","OldTown","Artery","1Fam","1.5Fin",7,5,1931,1950,"Gable","Wd Shng","None",6.04737217904628,"TA","TA","BrkTil","TA","No","Unf",5.31320597904179,952,6.85856503479136,"Gd","Y","FuseF",6.92951677076365,6.62273632394984,7.48099216286952,0,0,2,0,2,"TA",8,2,"Detchd",1931,"Unf",2,6.14846829591765,"Y",4,2008,"WD","Abnorml",11.7745202026587,"BrkFace",6.85856503479136,4,0,0,0,1,1,1,0,0,0,0,0.231629110656433,0,0,0,0,0,-0.228103553416609,-0.0544678478786447,1
10,190,"RL",3.91202300542815,8.91193433616143,"Reg","Corner","BrkSide","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","MetalSd","None",5.25749537202778,"TA","TA","BrkTil","TA","No","GLQ",6.74641212857337,140,6.89871453432999,"Ex","Y","SBrkr",6.98193467715639,0,6.98193467715639,1,0,1,0,2,"TA",5,2,"Attchd",1939,"RFn",1,5.32300997913841,"Y",1,2008,"WD","Normal",11.6784399034478,"MetalSd",4.9416424226093,4,0,0,0,1,1,1,0,0,0,1,-0.0306180367918437,0,0,0,0,0,0.385398463110032,0.0995460878508344,0
11,20,"RL",4.24849524204936,9.32366905728319,"Reg","Inside","Sawyer","Norm","1Fam","1Story",5,5,1965,1965,"Hip","HdBoard","None",4.49980967033027,"TA","TA","CBlock","TA","No","Rec",6.80903930604298,134,6.94697599213542,"Ex","Y","SBrkr",6.94697599213542,0,6.94697599213542,1,0,1,0,3,"TA",5,0,"Detchd",1965,"Unf",1,5.95064255258773,"Y",2,2008,"WD","Normal",11.7714361601217,"HdBoard",4.89783979995091,4,0,1,0,1,1,0.666666666666667,0,0,0,1,-0.022480864332875,0,1,0,0,0,0.282973419301109,0.0820720505559893,0
12,60,"RL",4.44265125649032,9.38630845479796,"IR1","Inside","NridgHt","Norm","1Fam","2Story",9,5,2005,2006,"Hip","Wd Shng","Stone",5.65599181081985,"Ex","TA","PConc","Ex","No","GLQ",6.90575327631146,177,7.06902342657826,"Ex","Y","SBrkr",7.07496319796604,7.04053639021596,7.7510451179718,1,0,3,0,4,"Ex",11,2,"BuiltIn",2005,"Fin",3,6.60123011872888,"Y",7,2006,"New","Partial",12.7512996960135,"WdShing",5.17614973257383,1,0,0,0,0,0,1,0,1,1,1,0.0632571950576548,0,1,0,0,0,2.09552009659247,0.350356925345543,0
13,20,"RL",4.24849524204936,9.47024006341551,"IR2","Inside","Sawyer","Norm","1Fam","1Story",5,6,1962,1962,"Hip","Plywood","None",5.33271879326537,"TA","TA","CBlock","TA","No","ALQ",6.60258789218934,175,6.81563999007433,"TA","Y","SBrkr",6.81563999007433,0,6.81563999007433,1,0,1,0,2,"TA",4,0,"Detchd",1962,"Unf",1,5.8636311755981,"Y",9,2008,"WD","Normal",11.8775685785581,"HdBoard",5.16478597392351,2,0,1,0,1,1,1,0,0,0,1,-0.0131942777196891,0,1,0,0,1,0.166080352884341,0.0679734149619215,0
